timestamp,link,utilization_percent,weight
2025-11-20 15:31:22,s2-s1,1.31,498.93306594848633
2025-11-20 15:31:22,s2-s3,1.31,498.9330966949463
2025-11-20 15:31:22,s3-s2,1.31,498.9330966949463
2025-11-20 15:31:22,s1-s3,1.30,498.93304481506345
2025-11-20 15:31:22,s3-s1,1.30,498.93304481506345
2025-11-20 15:31:25,s1-s2,1.30,498.9329832458496
2025-11-20 15:31:25,s2-s1,1.30,498.9329832458496
2025-11-20 15:31:25,s2-s3,1.29,498.932922668457
2025-11-20 15:31:25,s3-s2,1.30,498.932922668457
2025-11-20 15:31:25,s1-s3,1.29,498.93286056518554
2025-11-20 15:31:25,s3-s1,1.30,498.93286056518554
2025-11-20 15:31:28,s1-s2,1.30,498.93296897888183
2025-11-20 15:31:28,s2-s1,1.31,498.93296897888183
2025-11-20 15:31:28,s2-s3,1.29,498.93292236328125
2025-11-20 15:31:28,s3-s2,1.31,498.93292236328125
2025-11-20 15:31:28,s1-s3,1.30,498.9329835510254
2025-11-20 15:31:28,s3-s1,1.30,498.9329835510254
2025-11-20 15:31:32,s1-s2,1.30,498.9330009460449
2025-11-20 15:31:32,s2-s1,1.30,498.9330009460449
2025-11-20 15:31:32,s2-s3,1.29,498.9328887176514
2025-11-20 15:31:32,s3-s2,1.29,498.9328887176514
2025-11-20 15:31:32,s1-s3,1.31,498.9330738067627
2025-11-20 15:31:32,s3-s1,1.31,498.9330738067627
2025-11-20 15:31:35,s1-s2,1.26,498.93263427734377
2025-11-20 15:31:35,s2-s1,1.26,498.93263427734377
2025-11-20 15:31:35,s2-s3,1.28,498.93280067443845
2025-11-20 15:31:35,s3-s2,1.30,498.93280067443845
2025-11-20 15:31:35,s1-s3,1.29,498.93291648864744
2025-11-20 15:31:35,s3-s1,1.27,498.93291648864744
2025-11-20 15:31:38,s1-s2,1.29,498.9328886413574
2025-11-20 15:31:38,s2-s1,1.29,498.9328886413574
2025-11-20 15:31:38,s2-s3,1.29,498.9328894805908
2025-11-20 15:31:38,s3-s2,1.30,498.9328894805908
2025-11-20 15:31:38,s1-s3,1.29,498.93293418884275
2025-11-20 15:31:38,s3-s1,1.29,498.93293418884275
2025-11-20 15:31:42,s1-s2,1.32,498.93317977905275
2025-11-20 15:31:42,s2-s1,1.32,498.93317977905275
2025-11-20 15:31:42,s2-s3,1.28,498.9328244781494
2025-11-20 15:31:42,s3-s2,1.28,498.9328244781494
2025-11-20 15:31:42,s1-s3,1.30,498.9329531097412
2025-11-20 15:31:42,s3-s1,1.30,498.9329531097412
2025-11-20 15:31:45,s1-s2,1.31,498.9331137084961
2025-11-20 15:31:45,s2-s1,1.31,498.9331137084961
2025-11-20 15:31:45,s2-s3,1.31,498.93313400268556
2025-11-20 15:31:45,s3-s2,1.30,498.93313400268556
2025-11-20 15:31:45,s1-s3,1.31,498.9330590057373
2025-11-20 15:31:45,s3-s1,1.31,498.9330590057373
2025-11-20 15:31:48,s1-s2,1.30,498.93296867370606
2025-11-20 15:31:48,s2-s1,1.31,498.93296867370606
2025-11-20 15:31:48,s2-s3,1.32,498.9331640625
2025-11-20 15:31:48,s3-s2,1.30,498.9331640625
2025-11-20 15:31:48,s1-s3,1.30,498.9329904937744
2025-11-20 15:31:48,s3-s1,1.30,498.9329904937744
